Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
3004,12380-3,12380,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,2993,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 PEIXES,15,24/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3005,12381-1,12381,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3082,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 SAGITÁRIO,202,24/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3006,12381-1,12381,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3082,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 SAGITÁRIO,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3007,12381-2,12381,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3082,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 SAGITÁRIO,33,24/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3008,12381-3,12381,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3082,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 SAGITÁRIO,15,24/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3009,12382-1,12382,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3051,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 VIRGEM,202,25/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3010,12382-1,12382,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3051,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 VIRGEM,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3011,12382-2,12382,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3051,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 VIRGEM,33,25/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3012,12382-3,12382,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3051,CADERNETA MEU PEQUENO CICEROS ASTRAL PONTADO 14X21 VIRGEM,15,25/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3013,12383-1,12383,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3006,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 ARIÉS,202,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3014,12383-1,12383,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3006,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 ARIÉS,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3015,12383-2,12383,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3006,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 ARIÉS,33,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3016,12383-3,12383,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3006,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 ARIÉS,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3017,12384-1,12384,1,EQ-1,CAIO,PERSONALIZADO,ENTREGA TOTAL,P47,CICEROS$14x21$POLICROMIA,50,14/08/2023,2023-34,8,2023,2023-08,Brochura,50,
3018,12385-1,12385,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3037,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CÂNCER,202,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3019,12385-1,12385,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3037,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CÂNCER,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3020,12385-2,12385,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3037,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CÂNCER,33,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3021,12385-3,12385,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3037,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CÂNCER,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3022,12386-1,12386,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3099,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CAPRICÓRNIO,202,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3023,12386-1,12386,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3099,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CAPRICÓRNIO,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3024,12386-2,12386,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3099,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CAPRICÓRNIO,33,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3025,12386-3,12386,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3099,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 CAPRICÓRNIO,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3026,12387-1,12387,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3068,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 LIBRA,202,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),121,Astral
3027,12387-1,12387,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3068,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 LIBRA,148,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),89,Astral
3028,12387-2,12387,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3068,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 LIBRA,33,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),20,Astral
3029,12387-3,12387,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3068,CADERNETA MEU PEQUENO CICEROS ASTRAL SEM PAUTA 14X21 LIBRA,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Astral
3030,12388-1,12388,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3648,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL PAUTADO 14X21 INSECTA NOITE,210,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),126,Jóia Natural
3031,12388-1,12388,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3648,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL PAUTADO 14X21 INSECTA NOITE,290,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),174,Jóia Natural
3032,12388-2,12388,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3648,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL PAUTADO 14X21 INSECTA NOITE,25,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),15,Jóia Natural
3033,12388-3,12388,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3648,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL PAUTADO 14X21 INSECTA NOITE,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Jóia Natural
3034,12389-1,12389,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3631,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL SEM PAUTA 14X21 INSECTA DIA,210,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),126,Jóia Natural
3035,12389-1,12389,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,3631,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL SEM PAUTA 14X21 INSECTA DIA,290,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),174,Jóia Natural
3036,12389-2,12389,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,3631,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL SEM PAUTA 14X21 INSECTA DIA,25,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),15,Jóia Natural
3037,12389-3,12389,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,3631,CADERNETA MEU PEQUENO CICEROS JÓIA NATURAL SEM PAUTA 14X21 INSECTA DIA,15,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Jóia Natural
3038,12390-1,12390,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,4355,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PAUTADO 14X21 ESPÉCIES AZUL,210,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),126,Pássaros
3039,12390-1,12390,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,4355,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PAUTADO 14X21 ESPÉCIES AZUL,190,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),114,Pássaros
3040,12390-2,12390,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,4355,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PAUTADO 14X21 ESPÉCIES AZUL,25,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),15,Pássaros
3041,12390-3,12390,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,4355,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PAUTADO 14X21 ESPÉCIES AZUL,15,22/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Pássaros
3042,12391-1,12391,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,4348,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PONTADO 14X21 ESPÉCIES ROSA,210,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),126,Pássaros
3043,12391-1,12391,1,EQ-3,CASSIA,ATACADO,ENTREGA TOTAL,4348,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PONTADO 14X21 ESPÉCIES ROSA,190,30/08/2023,2023-36,8,2023,2023-08,Revistas(Individuais),114,Pássaros
3044,12391-2,12391,2,EQ-3,CASSIA,SITE,ENTREGA TOTAL,4348,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PONTADO 14X21 ESPÉCIES ROSA,25,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),15,Pássaros
3045,12391-3,12391,3,EQ-3,CASSIA,LOJA,ENTREGA TOTAL,4348,CADERNETA MEU PEQUENO CICEROS PÁSSAROS PONTADO 14X21 ESPÉCIES ROSA,15,23/08/2023,2023-35,8,2023,2023-08,Revistas(Individuais),9,Pássaros
3046,12392-1,12392,1,EQ-7,BIA,ATACADO,ENTREGA TOTAL,2795,CADERNO CRIATIVO ARGOLADO OFFICE DUO ASTRAL PAUTADO & PONTADO A5 CARTAS DO ZODÍACO AZUL,230,25/08/2023,2023-35,8,2023,2023-08,Argolados,345,Astral
3047,12392-1,12392,1,EQ-7,BIA,ATACADO,ENTREGA TOTAL,2795,CADERNO CRIATIVO ARGOLADO OFFICE DUO ASTRAL PAUTADO & PONTADO A5 CARTAS DO ZODÍACO AZUL,170,11/09/2023,2023-38,9,2023,2023-09,Argolados,255,Astral
3048,12392-2,12392,2,EQ-7,BIA,SITE,ENTREGA TOTAL,2795,CADERNO CRIATIVO ARGOLADO OFFICE DUO ASTRAL PAUTADO & PONTADO A5 CARTAS DO ZODÍACO AZUL,17,25/08/2023,2023-35,8,2023,2023-08,Argolados,26,Astral
3049,12392-3,12392,3,EQ-7,BIA,LOJA,ENTREGA TOTAL,2795,CADERNO CRIATIVO ARGOLADO OFFICE DUO ASTRAL PAUTADO & PONTADO A5 CARTAS DO ZODÍACO AZUL,13,25/08/2023,2023-35,8,2023,2023-08,Argolados,20,Astral
3050,12392-3,12392,3,EQ-7,BIA,LOJA,ENTREGA TOTAL,2795,CADERNO CRIATIVO ARGOLADO OFFICE DUO ASTRAL PAUTADO & PONTADO A5 CARTAS DO ZODÍACO AZUL,10,11/09/2023,2023-38,9,2023,2023-09,Argolados,15,Astral
3051,12393-1,12393,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,60,25/08/2023,2023-35,8,2023,2023-08,Argolados,90,Kraft
3052,12393-1,12393,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,140,01/09/2023,2023-36,9,2023,2023-09,Argolados,210,Kraft
3053,12393-2,12393,2,EQ-2,PEDRO,SITE,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,30,25/08/2023,2023-35,8,2023,2023-08,Argolados,45,Kraft
3054,12393-2,12393,2,EQ-2,PEDRO,SITE,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,20,01/09/2023,2023-36,9,2023,2023-09,Argolados,30,Kraft
3055,12393-3,12393,3,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,30,25/08/2023,2023-35,8,2023,2023-08,Argolados,45,Kraft
3056,12393-3,12393,3,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,3938,CADERNO CRIATIVO ARGOLADO OFFICE DUO KRAFT PAUTADO & PONTADO A5 RELICÁRIO,20,01/09/2023,2023-36,9,2023,2023-09,Argolados,30,Kraft
3057,12394-1,12394,1,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,350,25/08/2023,2023-35,8,2023,2023-08,Argolados,525,Melissa
3058,12394-1,12394,1,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,210,01/09/2023,2023-36,9,2023,2023-09,Argolados,315,Melissa
3059,12394-2,12394,2,EQ-8,ELIANE,SITE,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,26,25/08/2023,2023-35,8,2023,2023-08,Argolados,39,Melissa
3060,12394-2,12394,2,EQ-8,ELIANE,SITE,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,23,01/09/2023,2023-36,9,2023,2023-09,Argolados,35,Melissa
3061,12394-3,12394,3,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,14,25/08/2023,2023-35,8,2023,2023-08,Argolados,21,Melissa
3062,12394-3,12394,3,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,3983,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 FAVO DE ABELHAS,10,01/09/2023,2023-36,9,2023,2023-09,Argolados,15,Melissa
3063,12395-1,12395,1,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,240,25/08/2023,2023-35,8,2023,2023-08,Argolados,360,Pólen
3064,12395-1,12395,1,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,120,01/09/2023,2023-36,9,2023,2023-09,Argolados,180,Pólen
3065,12395-2,12395,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,26,25/08/2023,2023-35,8,2023,2023-08,Argolados,39,Pólen
3066,12395-2,12395,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,23,01/09/2023,2023-36,9,2023,2023-09,Argolados,35,Pólen
3067,12395-3,12395,3,EQ-4,ROSE,LOJA,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,14,25/08/2023,2023-35,8,2023,2023-08,Argolados,21,Pólen
3068,12395-3,12395,3,EQ-4,ROSE,LOJA,ENTREGA TOTAL,4713,CADERNO CRIATIVO ARGOLADO OFFICE DUO PÓLEN PAUTADO & PONTADO A5 TROPICÁLIA PRETO,8,01/09/2023,2023-36,9,2023,2023-09,Argolados,12,Pólen
3069,12396-1,12396,1,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,280,25/08/2023,2023-35,8,2023,2023-08,Argolados,420,ASTRAL
3070,12396-1,12396,1,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,297,01/09/2023,2023-36,9,2023,2023-09,Argolados,446,ASTRAL
3071,12396-2,12396,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,30,25/08/2023,2023-35,8,2023,2023-08,Argolados,45,ASTRAL
3072,12396-2,12396,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,27,01/09/2023,2023-36,9,2023,2023-09,Argolados,41,ASTRAL
3073,12396-3,12396,3,EQ-4,ROSE,LOJA,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,10,25/08/2023,2023-35,8,2023,2023-08,Argolados,15,ASTRAL
3074,12396-3,12396,3,EQ-4,ROSE,LOJA,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,7,01/09/2023,2023-36,9,2023,2023-09,Argolados,11,ASTRAL
3075,12397-1,12397,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,260,25/08/2023,2023-35,8,2023,2023-08,Argolados,390,Jóia Natural
3076,12397-1,12397,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,317,01/09/2023,2023-36,9,2023,2023-09,Argolados,476,Jóia Natural
3077,12397-2,12397,2,EQ-2,PEDRO,SITE,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,14,25/08/2023,2023-35,8,2023,2023-08,Argolados,21,Jóia Natural
3078,12397-2,12397,2,EQ-2,PEDRO,SITE,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,11,01/09/2023,2023-36,9,2023,2023-09,Argolados,17,Jóia Natural
3079,12397-3,12397,3,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,16,25/08/2023,2023-35,8,2023,2023-08,Argolados,24,Jóia Natural
3080,12397-3,12397,3,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,3495,CADERNO CRIATIVO ARGOLADO JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,14,01/09/2023,2023-36,9,2023,2023-09,Argolados,21,Jóia Natural
3081,12398-1,12398,1,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,200,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,200,Astral
3082,12398-1,12398,1,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,108,01/09/2023,2023-36,9,2023,2023-09,Wire-o Simples,108,Astral
3083,12398-2,12398,2,EQ-1,CAIO,SITE,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,34,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,34,Astral
3084,12398-2,12398,2,EQ-1,CAIO,SITE,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,31,01/09/2023,2023-36,9,2023,2023-09,Wire-o Simples,31,Astral
3085,12398-3,12398,3,EQ-1,CAIO,LOJA,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,34,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,34,Astral
3086,12398-3,12398,3,EQ-1,CAIO,LOJA,ENTREGA TOTAL,2818,CADERNO ESPIRAL ASTRAL PAUTADO 17X24 CARTAS DO ZODÍACO BRANCO,31,01/09/2023,2023-36,9,2023,2023-09,Wire-o Simples,31,Astral
3087,12399-1,12399,1,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,250,25/08/2023,2023-35,8,2023,2023-08,Argolados,375,Pólen
3088,12399-1,12399,1,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,442,05/09/2023,2023-37,9,2023,2023-09,Argolados,663,Pólen
3089,12399-2,12399,2,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,20,25/08/2023,2023-35,8,2023,2023-08,Argolados,30,Pólen
3090,12399-2,12399,2,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,14,05/09/2023,2023-37,9,2023,2023-09,Argolados,21,Pólen
3091,12399-3,12399,3,EQ-5,SUELLEN,LOJA,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,10,25/08/2023,2023-35,8,2023,2023-08,Argolados,15,Pólen
3092,12399-3,12399,3,EQ-5,SUELLEN,LOJA,ENTREGA TOTAL,4683,CADERNO CRIATIVO ARGOLADO PÓLEN PAUTADO 17X24 TROPICÁLIA AZUL,14,05/09/2023,2023-37,9,2023,2023-09,Argolados,21,Pólen
3093,12400-1,12400,1,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,220,25/08/2023,2023-35,8,2023,2023-08,Argolados,330,Kraft
3094,12400-1,12400,1,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,140,01/09/2023,2023-36,9,2023,2023-09,Argolados,210,Kraft
3095,12400-2,12400,2,EQ-1,CAIO,SITE,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,17,25/08/2023,2023-35,8,2023,2023-08,Argolados,26,Kraft
3096,12400-2,12400,2,EQ-1,CAIO,SITE,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,16,01/09/2023,2023-36,9,2023,2023-09,Argolados,24,Kraft
3097,12400-3,12400,3,EQ-1,CAIO,LOJA,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,6,25/08/2023,2023-35,8,2023,2023-08,Argolados,9,Kraft
3098,12400-3,12400,3,EQ-1,CAIO,LOJA,ENTREGA TOTAL,3945,CADERNO CRIATIVO ARGOLADO KRAFT PAUTADO 17X24 LINHA E PONTO,6,01/09/2023,2023-36,9,2023,2023-09,Argolados,9,Kraft
3099,12401-1,12401,1,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,3587,CADERNO ESPIRAL JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,200,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,200,Jóia Natural
3100,12401-1,12401,1,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,3587,CADERNO ESPIRAL JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,160,04/09/2023,2023-37,9,2023,2023-09,Wire-o Simples,160,Jóia Natural
3101,12401-2,12401,2,EQ-8,ELIANE,SITE,ENTREGA TOTAL,3587,CADERNO ESPIRAL JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,20,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,20,Jóia Natural
3102,12401-2,12401,2,EQ-8,ELIANE,SITE,ENTREGA TOTAL,3587,CADERNO ESPIRAL JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,21,04/09/2023,2023-37,9,2023,2023-09,Wire-o Simples,21,Jóia Natural
3103,12401-3,12401,3,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,3587,CADERNO ESPIRAL JÓIA NATURAL PAUTADO 17X24 INSECTA NOITE,10,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,10,Jóia Natural
3104,12402-1,12402,1,EQ-7,BIA,ATACADO,ENTREGA TOTAL,3877,CADERNO ESPIRAL KRAFT PAUTADO 17X24 RELICÁRIO,60,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,60,Kraft
3105,12402-1,12402,1,EQ-7,BIA,ATACADO,ENTREGA TOTAL,3877,CADERNO ESPIRAL KRAFT PAUTADO 17X24 RELICÁRIO,140,01/09/2023,2023-36,9,2023,2023-09,Wire-o Simples,140,Kraft
3106,12402-2,12402,2,EQ-7,BIA,SITE,ENTREGA TOTAL,3877,CADERNO ESPIRAL KRAFT PAUTADO 17X24 RELICÁRIO,20,25/08/2023,2023-35,8,2023,2023-08,Wire-o Simples,20,Kraft
