Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
9416,457,457,7,EQ-7,SUELLEN,LOJA,ENTREGA TOTAL,7899866830103,CALENDARIO DE MESA 20X15 CICEROS 2026 BOSSA NOVA,60,30/06/2025,2025-27,6,2025,2025-06,Calendário com capa,90,BOSSA NOVA
9417,457,457,7,EQ-7,SUELLEN,SITE,ENTREGA TOTAL,7899866830103,CALENDARIO DE MESA 20X15 CICEROS 2026 BOSSA NOVA,160,30/06/2025,2025-27,6,2025,2025-06,Calendário com capa,240,BOSSA NOVA
9418,367,367,7,EQ-8,CASSIA,ATACADO,ENTREGA TOTAL,7899866830509,"AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA 11,5X16 PRETO",560,26/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,1120,DOCE FLORADA
9419,475,475,5,EQ-8,CASSIA,LOJA,ENTREGA TOTAL,7899866830509,"AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA 11,5X16 PRETO",50,26/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,100,DOCE FLORADA
9420,475,475,5,EQ-8,CASSIA,SITE,ENTREGA TOTAL,7899866830509,"AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA 11,5X16 PRETO",40,26/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,80,DOCE FLORADA
9421,467,467,7,EQ-2,REGIANE,ATACADO,ENTREGA TOTAL,7899866830745,PLANNER PERMANENTE CADERNETA CICEROS DOCE FLORADA 14X21 GARRAFA,400,24/06/2025,2025-26,6,2025,2025-06,Brochura,400,DOCE FLORADA
9422,468,468,8,EQ-2,REGIANE,LOJA,ENTREGA TOTAL,7899866830745,PLANNER PERMANENTE CADERNETA CICEROS DOCE FLORADA 14X21 GARRAFA,20,24/06/2025,2025-26,6,2025,2025-06,Brochura,20,DOCE FLORADA
9423,468,468,8,EQ-2,REGIANE,SITE,ENTREGA TOTAL,7899866830745,PLANNER PERMANENTE CADERNETA CICEROS DOCE FLORADA 14X21 GARRAFA,50,24/06/2025,2025-26,6,2025,2025-06,Brochura,50,DOCE FLORADA
9424,473,473,3,EQ-8,CASSIA,PERSONALIZADO,ENTREGA TOTAL,P52,CICEROS$9X13$POLICROMIA,1300,20/06/2025,2025-25,6,2025,2025-06,Brochura,1300,
9425,358,358,8,EQ-8,CASSIA,ATACADO,ENTREGA TOTAL,7899866830868,"AGENDA PLANNER WIRE-O 2026 KRAFT DIARIA 11,5X16 2026",560,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,1120,KRAFT
9426,459,459,9,EQ-8,CASSIA,LOJA,ENTREGA TOTAL,7899866830868,"AGENDA PLANNER WIRE-O 2026 KRAFT DIARIA 11,5X16 2026",30,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,60,KRAFT
9427,459,459,9,EQ-8,CASSIA,SITE,ENTREGA TOTAL,7899866830868,"AGENDA PLANNER WIRE-O 2026 KRAFT DIARIA 11,5X16 2026",50,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,100,KRAFT
9428,267,267,7,EQ-8,CASSIA,ATACADO,ENTREGA TOTAL,7899866830431,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL A6 PRETO,480,26/06/2025,2025-26,6,2025,2025-06,Argolados,720,DOCE FLORADA
9429,477,477,7,EQ-8,CASSIA,LOJA,ENTREGA TOTAL,7899866830431,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL A6 PRETO,30,26/06/2025,2025-26,6,2025,2025-06,Argolados,45,DOCE FLORADA
9430,477,477,7,EQ-8,CASSIA,SITE,ENTREGA TOTAL,7899866830431,AGENDA PLANNER ARGOLADO 2026 DOCE FLORADA SEMANAL A6 PRETO,60,26/06/2025,2025-26,6,2025,2025-06,Argolados,90,DOCE FLORADA
9431,464,464,4,EQ-9,MARGO,ATACADO,ENTREGA TOTAL,7899866830578,CADERNETA CICEROS DOCE FLORADA MIOLO TRI 14X21 AZUL,410,23/06/2025,2025-26,6,2025,2025-06,Brochura,410,DOCE FLORADA
9432,466,466,6,EQ-9,MARGO,LOJA,ENTREGA TOTAL,7899866830578,CADERNETA CICEROS DOCE FLORADA MIOLO TRI 14X21 AZUL,20,23/06/2025,2025-26,6,2025,2025-06,Brochura,20,DOCE FLORADA
9433,466,466,6,EQ-9,MARGO,SITE,ENTREGA TOTAL,7899866830578,CADERNETA CICEROS DOCE FLORADA MIOLO TRI 14X21 AZUL,30,23/06/2025,2025-26,6,2025,2025-06,Brochura,30,DOCE FLORADA
9434,483,483,3,EQ-9,MARGO,ATACADO,ENTREGA TOTAL,1407,CADERNETA CICEROS CLASSICA SEM PAUTA 9X13 PRETO/PRETO,540,23/06/2025,2025-26,6,2025,2025-06,Brochura,540,CLÁSSICA
9435,484,484,4,EQ-9,MARGO,ATACADO,ENTREGA TOTAL,3433,CADERNETA CICEROS CLÁSSICA SEM PAUTA 9X13 VERMELHO QUENTE,290,23/06/2025,2025-26,6,2025,2025-06,Brochura,290,CLÁSSICA
