Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA
7635,15786-2,15786,2,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,1804,CADERNO ESPIRAL CLÁSSICA PAUTADO 17X24 PRETO,"50,0",15/11/2024,2024-46,11,2024,11-2024,Wire-o Simples,50
7636,15721-2,15721,2,EQ-1,RAYANE,SITE,ENTREGA TOTAL,5857,AGENDA PLANNER ARGOLADO 2025 CLÁSSICA SEMANAL A6 CAFÉ,"100,0",18/11/2024,2024-47,11,2024,11-2024,Argolados,150
7637,15723-2,15723,1,EQ-1,RAYANE,SITE,ENTREGA TOTAL,5932,AGENDA PLANNER ARGOLADO 2025 MELISSA SEMANAL A6 CAMINHO DAS ABELHAS,"80,00",18/11/2024,2024-47,11,2024,11-2024,Argolados,120
7638,15737-2,15737,2,EQ-3,ROSE,SITE,ENTREGA TOTAL,5963,AGENDA PLANNER CICEROS 2025 ASTRAL SEMANAL 14X21 MARÉ OFF WHITE,"90,0",18/11/2024,2024-47,11,2024,11-2024,Brochura,90
7639,15700-2,15700,2,EQ-3,ROSE,SITE,ENTREGA TOTAL,6106,AGENDA PLANNER CICEROS 2025 ATELIÊ DIÁRIA 14X21 PRETO,"200,0",18/11/2024,2024-47,11,2024,11-2024,Brochura,200
7640,15997-1,15997,1,EQ-5,CAIO,PERSONALIZADO,ENTREGA TOTAL,P47,CICEROS$14x21$POLICROMIA,"120,0",18/11/2024,2024-47,11,2024,11-2024,Brochura,120
7641,15412-2,15412,2,EQ-8,MARGO,SITE,ENTREGA TOTAL,7325,CALENDARIO DE PAREDE A3 CICEROS 2025 ATELIÊ,"110,0",19/11/2024,2024-47,11,2024,11-2024,Calendário,"82,5"
7642,15676-2,15676,2,EQ-5,CAIO,SITE,ENTREGA TOTAL,6717,BLOCO WIRE-O ATELIÊ PAUTADO 12X20 OFF WHITE,"50,0",19/11/2024,2024-47,11,2024,11-2024,Wire-o Simples,50
7643,15753-2,15753,2,EQ-2,DEYVSON,SITE,ENTREGA TOTAL,5871,AGENDA PLANNER ARGOLADO 2025 CLÁSSICA SEMANAL NOTAS A5 VERDE OLIVA,"120,0",19/11/2024,2024-47,11,2024,11-2024,Argolados,180
7644,15772-2,15772,2,EQ-8,MARGO,SITE,ENTREGA TOTAL,7332,CALENDARIO DE PAREDE A3 CICEROS 2025 KRAFT,"200,0",19/11/2024,2024-47,11,2024,11-2024,Calendário,150
7645,15727-2,15727,2,EQ-5,CAIO,SITE,ENTREGA TOTAL,5970,AGENDA PLANNER CICEROS 2025 ASTRAL SEMANAL ANOTAÇÕES 14X21 ECLIPSE PRETO,"123,0",20/11/2024,2024-47,11,2024,11-2024,Brochura,123
7646,15756-2,15756,2,EQ-3,ROSE,SITE,ENTREGA TOTAL,5925,AGENDA PLANNER ARGOLADO 2025 BOSSA NOVA SEMANAL NOTAS A5 BOEMIA,"200,0",20/11/2024,2024-47,11,2024,11-2024,Argolados,300
7647,15768-2,15768,2,EQ-8,MARGO,SITE,ENTREGA TOTAL,7295,CALENDARIO DE MESA 20X15 CICEROS 2025 BOSSA NOVA,"60,0",20/11/2024,2024-47,11,2024,11-2024,Calendário com capa,90
7648,15896-2,15896,2,EQ-1,RAYANE,SITE,ENTREGA TOTAL,2764,CADERNO CRIATIVO ARGOLADO ASTRAL PAUTADO 17X24 ESPAÇO TEMPO PRETO,"90,0",20/11/2024,2024-47,11,2024,11-2024,Argolados,135
7649,15998-1,15998,1,EQ-1,RAYANE,PERSONALIZADO,ENTREGA TOTAL,P31,CADERNO WIRE-O$A5$POLICROMIA,"100,0",25/11/2024,2024-48,11,2024,11-2024,Wire-o sem fita,120
7650,15999-1,15999,1,EQ-1,RAYANE,PERSONALIZADO,ENTREGA TOTAL,P47,CICEROS$14x21$POLICROMIA,"50,0",25/11/2024,2024-48,11,2024,11-2024,Brochura,50
7651,16000-1,16000,1,EQ-1,RAYANE,PERSONALIZADO,ENTREGA TOTAL,P45,CICEROS$14x21$COURO SINTETICO,"50,0",25/11/2024,2024-48,11,2024,11-2024,Brochura,50
7652,15726-1,15726,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6298,"AGENDA PLANNER CICEROS 2025 BOSSA NOVA SEMANAL PLANEJAMENTO 17X19,5 BOEMIA","140,0",25/11/2024,2024-48,11,2024,11-2024,Brochura,140
7653,15862-2,15862,2,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6736,CADERNETA CICEROS CLASSICA PONTADO 14X21 PRETO/PRETO,"1.400,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,1400
7654,15701-1,15701,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6175,AGENDA PLANNER CICEROS 2025 MELISSA DIÁRIA 14X21 FAVO DE ABELHAS,"200,0",28/11/2024,2024-48,11,2024,11-2024,Brochura,200
7655,15703-1,15703,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6250,AGENDA PLANNER CICEROS 2025 BOSSA NOVA DIÁRIA 14X21 PONTOS AZUL,"95,0",29/11/2024,2024-48,11,2024,11-2024,Brochura,95
7656,15698-1,15698,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,5987,AGENDA PLANNER CICEROS 2025 CLÁSSICA DIÁRIA 14X21 VERMELHO QUENTE,"143,0",29/11/2024,2024-48,11,2024,11-2024,Brochura,143
7657,15855-1,15855,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6878,CADERNETA CICEROS MELISSA PAUTADO 14X21 FAVO DE ABELHAS,"350,0",02/12/2024,2024-49,12,2024,12-2024,Brochura,350
